Name,brand_name
まじかるすいーとプリズム・ナナエース DE,まじかるすいーとプリズム・ナナ
まじかるすいーとプリズム･ナナ SF,まじかるすいーとプリズム･ナナ
まつりば！ /A5,まつりば
Sまほいく NB,まほいく
Sみうスロ M1,みうスロ
みどりのマキバオー,みどりのマキバオー
みどりのマキバオー2 E2,みどりのマキバオー
めぞん一刻夏色の風と／A,めぞん一刻
めぞん一刻 桜の下で N/F4,めぞん一刻
Pめぞん一刻5 H1YX1,めぞん一刻
Pめぞん一刻5 H1YX6,めぞん一刻
やじきた道中記乙 MD,やじきた道中記
Pやじきた道中記 SB,やじきた道中記
Pやじきた道中記 MM,やじきた道中記
ゆるせぽね DY,ゆるせぽね
パチスロ らんま1/2S,らんま1/2
Pらんま1/2 V3A,らんま1/2
パチスロらんま1/2 W,らんま1/2
Pらんま1/2 V1A,らんま1/2
ろくでなしBLUES,ろくでなしBLUES
PAわんわんセレブレーション AGBD,わんわんセレブレーション
PAわんわんパラダイスV -GBA,わんわんパラダイス
Pわんニャンアドベンチャー HCB,わんニャンアドベンチャー
Pわんニャンアドベンチャー HBF,わんニャンアドベンチャー
Sアイドルマスター G,アイドルマスター
Pフィーバーアイドルマスター 39フェス,アイドルマスター
アイドルマスターライブインスロットZ,アイドルマスター
PAフィーバーアイドルマスター Y,アイドルマスター
Pフィーバーアイドルマスター G,アイドルマスター
Sアオハル♪操 A-LIVE A2,アオハル♪操
SLOTアカギ /DA,アカギ
S ATアカメが斬る! K,アカメが斬る!
Lアカメが斬る！2 TN,アカメが斬る！
アステカ太陽の紋章AE,アステカ太陽の紋章
アスラズラース ZS,アスラズラース
Pアズールレーン THE ANIMATION～異次元トリガー199～ M4 【LT】,アズールレーン THE ANIMATION
Pアズールレーン THE ANIMATION～異次元トリガー199～ M4,アズールレーン THE ANIMATION
Pぱちんこアズールレーン THE ANIMATION MC2,アズールレーン THE ANIMATION
パチスロアタックNO.1世界編 KJ,アタックNO.1
Pアナザーゴッドハーデス3 MC,アナザーゴッドハーデス
アナザーゴッドハーデス冥王 /GL,アナザーゴッドハーデス
Pアナザーゴッドハーデス2 SC,アナザーゴッドハーデス
S /アナザーゴッドハーデス /SL,アナザーゴッドハーデス
Pアナザーゴッドハーデス2 ME,アナザーゴッドハーデス
アナザーゴッドハーデス-X,アナザーゴッドハーデス
アナザーゴッドポセイドン WP,アナザーゴッドポセイドン
Pアナザーゴッドポセイドン MH,アナザーゴッドポセイドン
S/ アナターのオット!?はーです /BR,アナターのオット!?はーです
PAアニマルマンション GO【PB機】,アニマルマンション
PAアニマルマンション GO 【PB】,アニマルマンション
Sアバサー M1,アバサー
Sアバサー A1-30,アバサー
アベノ橋魔法☆商店街,アベノ橋魔法☆商店街
パチスロアベンジャーズ KB,アベンジャーズ
Sアメリカン番長 HEY!鏡 B2,アメリカン番長 HEY!鏡
アラジンAⅡ ZS,アラジン
Sアラジンクラシック KF,アラジン
S／アルドノア・ゼロ／NL,アルドノア・ゼロ
アレジン FSF,アレジン
Pアレジン プレミアム FMG,アレジン
アレックス AE,アレックス
S闘魂継承アントニオ猪木 L3,アントニオ猪木
アントニオ猪木が元気にするパチスロ機,アントニオ猪木
アントニオ猪木が伝説にするパチスロ機P,アントニオ猪木
イノキロードトゥゴッドMG,イノキロードトゥゴッド
イミソーレ2R,イミソーレ
パチスロ IS インフィニット・ストラトス,インフィニット・ストラトス
パチスロイースⅠ&Ⅱ /XX,イース
パチスロウィザードバリスターズ /MX,ウィザードバリスターズ
パチスロウィッチクラフトワークス /DA,ウィッチクラフトワークス
ウィッチマスター /FF,ウィッチマスター
PAウイニングボール CP1F,ウイニングボール
ウイングマン,ウイングマン
